"","dangshen","huangqi"
"SMAD7",-0.547445110333334,-0.370481912666668
"MUC20",0.569672982666665,-0.744771908666669
"OVGP1",0.475341355333332,-0.640407278666667
"AQP7P1",0.474528113999999,-0.708512113666668
"ERRFI1",-0.630493994333336,0.188118639999998
"LOC730525",-0.700363322333334,0.561422105999998
"FBXO2",0.472608599333332,-0.605586209666668
"CLIC3",-0.578252799000001,0.533054549
"SOAT2",0.513569934333331,-0.0284023410000005
"CCDC37",0.469392159666666,-0.785622729000003
"LOC729423",-0.515105253333334,0.690201233666665
"LOC91461",0.530532689666665,-0.686507805000001
"PAPSS2",0.481758300999999,0.508755926666666
"ZMIZ1",-0.531229181000002,0.233644757666665
"LGALS1",0.564765421333331,0.670547355666665
"ACSL3",-0.623346329666668,-0.559949599333335
"SAA4",0.520660874666666,-0.743439048333334
"FNDC5",-0.477654745000001,-0.297875035000002
"CDKN1B",-0.595961964,-0.673881216333334
"HMGCR",-0.487623418666667,-0.601084188333334
"LOC642399",0.491491886666666,0.103235401333333
"RELL1",-0.472658403333334,0.979662983333332
"PCSK9",-0.527244292666669,0.212750767333333
"EXOSC4",0.459588628666666,0.0666843276666661
"SLC22A18AS",0.458711232666666,0.047639959
"RPPH1",0.516898641666666,-0.770871763666668
"LOC285095",0.503528732,-0.246914287333335
"FAM72D",-0.453505722000002,-0.304624267333336
"LOC643856",0.452487022999998,0.929603573000001
"LOC100132761",0.466513231999999,-0.204459370666667
"SH3GLB1",-0.450333132333336,0.343024062999999
"DTNA",0.460657386666667,-0.415128947666668
"DLD",-0.468991030666668,0.634589884333331
"IDI1",-0.633291388,-0.367308156666668
"IFNGR1",-0.496346411,0.563588349666666
"LOC286297",0.498230560333332,-0.601552285333333
"BAMBI",-0.454552076666667,0.629867652999998
"LOC642477",-0.486165133666667,-0.848867780000002
"SGK",-0.542122562000002,-0.678506011666666
"C14orf149",0.470431656999999,0.586560638333332
"TRPV2",0.461707252999999,-0.665133743333335
"SMOX",0.521564937666665,-0.640944851
"NAT8B",0.457499706333332,-0.649018328333334
"LOC100129828",0.476921975666666,-0.559166426333335
"SH2D5",0.466433775666665,-0.555112029
"UBL4A",0.453439123999998,0.364874102999999
"SERPINA3",0.536777419999997,-0.323310381666668
"S100A11",0.450535015666665,0.342513089666664
"HS2ST1",-0.460327316666668,0.287481741999998
"SC4MOL",-0.465886530000003,0.413447284666665
